q_id,q_text,q_section,q_type,q_notes
cp1,¿Cuantas personas viven en este hogar?,datos_generales_de_la_poblacion_encuestada,categorica,
cp2,Sexo. A encuestadores: preguntar sexo (asignado de nacimiento),datos_generales_de_la_poblacion_encuestada,categorica,
cp3,Género. A encuestadores: preguntar género (no asumirlo),datos_generales_de_la_poblacion_encuestada,categorica,
cp4_1,¿Cuántos años cumplidos tiene (NOMBRE)?,datos_generales_de_la_poblacion_encuestada,numerica,
cp5,¿Con quién vive en su hogar?,datos_generales_de_la_poblacion_encuestada,categorica,
cp6,¿Con cuál servicio médico cuenta (NOMBRE)?,desarrollo_social_y_economico,categorica,
cp7,(NOMBRE) ¿Estudia actualmente?,desarrollo_social_y_economico,categorica,
cp8,¿Cuál es el nivel máximo de estudios terminado?,desarrollo_social_y_economico,categorica,
cp9,¿Cuál es el nivel máximo de estudios actualmente cursando (si sigue estudiando)?,desarrollo_social_y_economico,categorica,
cp10,Tipo de escuela,desarrollo_social_y_economico,categorica,
cp11,"Durante el último ciclo escolar de NOMBRE DEL ESTUDIANTE, ¿se le negó el acceso a las clases debido a la falta de pago de las cuotas?",desarrollo_social_y_economico,categorica,
cp12,Durante los últimos 12 meses NOMBRE DEL ESTUDIANTE ha sido victima de BULLYING o ACOSO ESCOLAR en la escuela a la que asiste,desarrollo_social_y_economico,categorica,
cp13,"En caso de responder SÍ al menos para un estudiante del hogar, responder por cada estudiante ¿Considera que las autoridades escolares o maestros han tomado medidas efectivas para mitigar los casos de bullying o acoso escolar?",desarrollo_social_y_economico,categorica,
cp14_1,"Temporadas de frío (calentadores, calefacción)",desarrollo_social_y_economico,categorica,
cp14_2,"Temporadas de calor (Aire acondicionado, abanico/ventilador)",desarrollo_social_y_economico,categorica,
cp15,¿Cómo evaluaría las instalaciones y equipamientos de la escuela a la que asiste NOMBRE DEL ESTUDIANTE?,desarrollo_social_y_economico,categorica,
cp16_1,"Tomando en cuenta las preguntas previas: en una escala del 1 al 10, donde 1 es ""nada satisfecho"" y 10 es ""completamente satisfecho"", ¿qué tan satisfecho está con el SERVICIO EDUCATIVO? Estudiantes en: Primaria",desarrollo_social_y_economico,categorica,
cp16_2,Secundaria,desarrollo_social_y_economico,categorica,
cp16_3,"Media Superior (Preparatoria, bachillerato)",desarrollo_social_y_economico,categorica,
p1,"En su hogar existen suficientes dispositivos electrónicos (laptop, tablet, celular, computadora, televisión) para que quienes estudian y los requieren, tomen clases o realicen actividades escolares",desarrollo_social_y_economico,categorica,
p2,Su hogar cuenta con una conexión a internet,desarrollo_social_y_economico,categorica,
p3,"Durante la semana pasada, ¿cuál fue su principal actividad laboral? (Seleccione una)",desarrollo_social_y_economico,categorica,
p4,¿Cuál es la modalidad de su trabajo principal?,desarrollo_social_y_economico,categorica,
p5,¿Cuántas horas trabaja al día (considerando hora de comida)?: hrs_,desarrollo_social_y_economico,numerica,
p6,¿Cuántos días a la semana trabaja?:,desarrollo_social_y_economico,numerica,
p7_1,"""En su trabajo cuenta con las siguientes prestaciones: (Sí, No, No sabe, No contesta)"" Vacaciones",desarrollo_social_y_economico,categorica,
p7_2,Seguro Medico (IMSS/ privado),desarrollo_social_y_economico,categorica,
p7_3,Guardería,desarrollo_social_y_economico,categorica,
p7_4,Fondo de ahorro para el retiro,desarrollo_social_y_economico,categorica,
p7_5,Aguinaldo,desarrollo_social_y_economico,categorica,
p7_6,Bonos de despensa,desarrollo_social_y_economico,categorica,
p8_1,"Al día, ¿cuántas horas destina a los quehaceres constantes del hogar (limpiar, lavar ropa, cocinar, acudir a pagar servicios, trámites, compras del hogar)? Hras____",desarrollo_social_y_economico,numerica,
p8_2,Min___,desarrollo_social_y_economico,numerica,
quehaceres_hogar,Tiempo total en minutos que destina a los quehaceres del hogar,desarrollo_social_y_economico,numerica,
p9_1,"Al día, ¿cuántas horas destina al cuidado no remunerado de personas, como niños(as), personas enfermas, o ancianos(as) (atenderlos en sus necesidades, acompañamiento en tareas y deberes, llevarlos a la escuela, al médico, bañarles, alimentarles)? Hras____",desarrollo_social_y_economico,numerica,
p9_2,Min___,desarrollo_social_y_economico,numerica,
cuidado_personas,"Tiempo total en minutos que destina al cuidado no remunerado de personas, como niños(as), personas enfermas, o ancianos(as)",desarrollo_social_y_economico,numerica,
total_min_trabajo_rem_y_norem,Total de minutos que destina al trabajo remunerado y no remunerado,desarrollo_social_y_economico,numerica,
p10,"Durante el día de ayer, ¿cuál fue el principal motivo para trasladarse fuera de su casa? Nota: Cuando la entrevista sea realizada en domingo o lunes entonces preguntar por viaje del día viernes. Si tuvo varios viajes, seleccionar el más recurrente",eje_1_desarrollo_sustentable,categorica,
p11,"Si respondió C Compras, ¿qué tipo de compras realizó?",eje_1_desarrollo_sustentable,categorica,
p12,"Si respondió sin viaje en la pregunta anterior (P9), ¿por qué no salió?",eje_1_desarrollo_sustentable,categorica,
p13,¿Cuántas veces a la semana se dirige a este destino?,eje_1_desarrollo_sustentable,categorica,
p14,Para su principal motivo de traslado que nos mencionó ¿cuál fue el municipio de su destino?,eje_1_desarrollo_sustentable,categorica,
p15,¿Cuál fue la colonia de su destino?,eje_1_desarrollo_sustentable,numerica,
p16,"Durante el día de ayer: ¿Cuál de los siguientes modos de transporte usted utilizó para llegar a su destino? (Si utilizó más de uno, seleccionar en el que pasó más tiempo)",eje_1_desarrollo_sustentable,categorica,
p16_3,¿Cuántas personas viajan en el Taxi? (sin contar al conductor):,eje_1_desarrollo_sustentable,numerica,
p16_4,¿Cuántas personas viajan en el Uber? (sin contar al conductor):,eje_1_desarrollo_sustentable,numerica,
p16_8,¿Cuántas personas viajan en el auto?:,eje_1_desarrollo_sustentable,numerica,
transporte_publico,"Uso del transporte público (Camión, microbús / Metro / Transmetro / Ecovía) como principal modo de traslado",eje_1_desarrollo_sustentable,categorica,
p17,"Si contestó 3: Taxi, 4: Uber, 5: Motocicleta, 8: Automóvil, ¿Por qué no utiliza el transporte público? Razón más importante",eje_1_desarrollo_sustentable,categorica,
p18_1,¿Cuánto tiempo esperó para tomar su principal medio de transporte? Hrs:,eje_1_desarrollo_sustentable,numerica,
p18_2,Min:,eje_1_desarrollo_sustentable,numerica,
tiempo_espera,Tiempo total en minutos que esperó para tomar su principal medio de transporte,eje_1_desarrollo_sustentable,numerica,
p19,"""¿Realizó algún transbordo en su viaje de ida? (Cambio de unidad de transporte para completar un viaje, puede ser el mismo medio de transporte público u otro)""",eje_1_desarrollo_sustentable,categorica,
p20,¿Cuántos transbordos realizó en su viaje de ida?,eje_1_desarrollo_sustentable,categorica,
p21,¿Cuál fue el COSTO TOTAL de su viaje principal de IDA a su destino?,eje_1_desarrollo_sustentable,numerica,
p22,¿Cuál fue el COSTO TOTAL de su viaje principal de REGRESO a su casa?,eje_1_desarrollo_sustentable,numerica,
costo_total_viaje,COSTO TOTAL de su viaje principal (IDA y REGRESO),eje_1_desarrollo_sustentable,numerica,
p23,¿Cuál es su gasto total semanal en transporte público?,eje_1_desarrollo_sustentable,numerica,
p24_1,"¿Cuánto tiempo de ida tardó en el medio que lo transportó a su destino principal (P3)? Desde que sale de su casa hasta que llega a su destino, Incluya tiempo de caminata, espera y transbordo Hrs:",eje_1_desarrollo_sustentable,numerica,
p24_2,Min:,eje_1_desarrollo_sustentable,numerica,
tiempo_ida,Tiempo total en minutos que tardó en el medio que lo transportó a su destino principal en su viaje de IDA,eje_1_desarrollo_sustentable,numerica,
p25_1,"¿Cuánto tiempo tardó de vuelta en el medio que lo transportó a su destino principal (P3)? Incluya tiempo de caminata, espera y transbordo; desde que sale de su destino hasta que llega a su casa. Hrs:",eje_1_desarrollo_sustentable,numerica,
p25_2,Min:,eje_1_desarrollo_sustentable,numerica,
tiempo_regreso,Tiempo total en minutos que tardó en el medio que lo transportó a su destino principal en su viaje de REGRESO,eje_1_desarrollo_sustentable,numerica,
tiempo_total_traslado,Tiempo total en minutos que tardó en el medio que lo transportó a su destino principal (viaje redondo; ida y regreso),eje_1_desarrollo_sustentable,numerica,
p26,"Durante los viajes que realiza en la semana ¿para alguno utiliza el transporte público (camión, microbús, ecovía, transmetro, metro) como medio de transporte?",eje_1_desarrollo_sustentable,categorica,
p27_1,¿El tiempo de espera por unidades es siempre el mismo,eje_1_desarrollo_sustentable,categorica,
p27_2,"Si necesita viajar a zonas que normalmente no visita, ¿sabe dónde consultar qué ruta lo lleva, por dónde pasa, y dónde está la parada?",eje_1_desarrollo_sustentable,categorica,
p27_3,¿Se siente seguro viajando en el transporte público?,eje_1_desarrollo_sustentable,categorica,
p27_4,"En su viaje, ¿regularmente puede ir sentado(a)?",eje_1_desarrollo_sustentable,categorica,
p27_5,"¿Los choferes manejan en forma prudente y segura? (manejan a una velocidad adecuada, respetan los semáforos, señales de tránsito y no usan el celular cuando están manejando)",eje_1_desarrollo_sustentable,categorica,
p27_6,¿Las unidades de transporte público que utiliza están climatizadas?,eje_1_desarrollo_sustentable,categorica,
