respondent_id,is_initial_respondent,nombre,factor_cvnl,city_id
1_1,True,,1265.571429,1
1_2,False,,1265.571429,1
1_3,False,,1265.571429,1
1_4,False,,1265.571429,1
1_5,False,,1265.571429,1
2_1,True,,1290.894737,1
2_2,False,,1290.894737,1
3_1,True,,1265.571429,1
3_2,False,,1265.571429,1
3_3,False,,1265.571429,1
4_1,True,,1290.894737,1
4_2,False,,1290.894737,1
4_3,False,,1290.894737,1
4_4,False,,1290.894737,1
5_1,True,,1265.571429,2
5_2,False,,1265.571429,2
5_3,False,,1265.571429,2
5_4,False,,1265.571429,2
6_1,True,,1290.894737,2
6_2,False,,1290.894737,2
7_1,True,,1265.571429,2
8_1,True,,1290.894737,2
8_2,False,,1290.894737,2
8_3,False,,1290.894737,2
9_1,True,,1265.571429,2
9_2,False,,1265.571429,2
9_3,False,,1265.571429,2
9_4,False,,1265.571429,2
9_5,False,,1265.571429,2
9_6,False,,1265.571429,2
10_1,True,,1290.894737,2
10_2,False,,1290.894737,2
10_3,False,,1290.894737,2
10_4,False,,1290.894737,2
11_1,True,,1265.571429,2
11_2,False,,1265.571429,2
11_3,False,,1265.571429,2
12_1,True,,1290.894737,2
13_1,True,,1265.571429,4
13_2,False,,1265.571429,4
13_3,False,,1265.571429,4
13_4,False,,1265.571429,4
14_1,True,,1290.894737,4
14_2,False,,1290.894737,4
15_1,True,,1265.571429,4
15_2,False,,1265.571429,4
16_1,True,,1290.894737,4
16_2,False,,1290.894737,4
16_3,False,,1290.894737,4
17_1,True,,1265.571429,4
17_2,False,,1265.571429,4
17_3,False,,1265.571429,4
17_4,False,,1265.571429,4
18_1,True,,1290.894737,4
18_2,False,,1290.894737,4
18_3,False,,1290.894737,4
19_1,True,,1265.571429,4
19_2,False,,1265.571429,4
20_1,True,,1290.894737,4
21_1,True,,1265.571429,4
21_2,False,,1265.571429,4
21_3,False,,1265.571429,4
22_1,True,,1290.894737,4
22_2,False,,1290.894737,4
23_1,True,,1265.571429,4
23_2,False,,1265.571429,4
23_3,False,,1265.571429,4
23_4,False,,1265.571429,4
24_1,True,,1290.894737,4
24_2,False,,1290.894737,4
25_1,True,,1265.571429,5
25_2,False,,1265.571429,5
26_1,True,,1290.894737,5
26_2,False,,1290.894737,5
27_1,True,,1265.571429,5
27_2,False,,1265.571429,5
28_1,True,,1290.894737,5
29_1,True,,1265.571429,5
29_2,False,,1265.571429,5
29_3,False,,1265.571429,5
30_1,True,,1290.894737,5
30_2,False,,1290.894737,5
31_1,True,,1265.571429,5
31_2,False,,1265.571429,5
32_1,True,,1290.894737,5
32_2,False,,1290.894737,5
33_1,True,,1265.571429,5
33_2,False,,1265.571429,5
34_1,True,,1290.894737,5
34_2,False,,1290.894737,5
35_1,True,,1265.571429,5
36_1,True,,1290.894737,5
37_1,True,,1265.571429,5
37_2,False,,1265.571429,5
37_3,False,,1265.571429,5
37_4,False,,1265.571429,5
38_1,True,,1290.894737,5
39_1,True,,1265.571429,5
39_2,False,,1265.571429,5
39_3,False,,1265.571429,5
39_4,False,,1265.571429,5
39_5,False,,1265.571429,5
39_6,False,,1265.571429,5
40_1,True,,1290.894737,5
41_1,True,,1367.097701,6
41_2,False,,1367.097701,6
41_3,False,,1367.097701,6
41_4,False,,1367.097701,6
41_5,False,,1367.097701,6
42_1,True,,1362.875706,6
42_2,False,,1362.875706,6
42_3,False,,1362.875706,6
42_4,False,,1362.875706,6
42_5,False,,1362.875706,6
43_1,True,,1367.097701,6
43_2,False,,1367.097701,6
43_3,False,,1367.097701,6
44_1,True,,1362.875706,6
44_2,False,,1362.875706,6
44_3,False,,1362.875706,6
44_4,False,,1362.875706,6
45_1,True,,1367.097701,6
45_2,False,,1367.097701,6
45_3,False,,1367.097701,6
46_1,True,,1362.875706,6
46_2,False,,1362.875706,6
46_3,False,,1362.875706,6
46_4,False,,1362.875706,6
47_1,True,,1367.097701,6
47_2,False,,1367.097701,6
47_3,False,,1367.097701,6
48_1,True,,1367.097701,6
48_2,False,,1367.097701,6
48_3,False,,1367.097701,6
48_4,False,,1367.097701,6
49_1,True,,1362.875706,6
50_1,True,,1367.097701,6
50_2,False,,1367.097701,6
50_3,False,,1367.097701,6
51_1,True,,1362.875706,6
51_2,False,,1362.875706,6
51_3,False,,1362.875706,6
51_4,False,,1362.875706,6
52_1,True,,1362.875706,6
52_2,False,,1362.875706,6
52_3,False,,1362.875706,6
53_1,True,,1367.097701,6
53_2,False,,1367.097701,6
53_3,False,,1367.097701,6
53_4,False,,1367.097701,6
54_1,True,,1367.097701,6
55_1,True,,1362.875706,6
55_2,False,,1362.875706,6
56_1,True,,1367.097701,6
56_2,False,,1367.097701,6
57_1,True,,1362.875706,6
58_1,True,,1362.875706,6
58_2,False,,1362.875706,6
58_3,False,,1362.875706,6
59_1,True,,1367.097701,6
59_2,False,,1367.097701,6
59_3,False,,1367.097701,6
60_1,True,,1362.875706,6
60_2,False,,1362.875706,6
60_3,False,,1362.875706,6
60_4,False,,1362.875706,6
61_1,True,,1367.097701,6
61_2,False,,1367.097701,6
62_1,True,,1362.875706,6
62_2,False,,1362.875706,6
62_3,False,,1362.875706,6
62_4,False,,1362.875706,6
63_1,True,,1367.097701,6
63_2,False,,1367.097701,6
63_3,False,,1367.097701,6
64_1,True,,1362.875706,6
64_2,False,,1362.875706,6
65_1,True,,1367.097701,6
65_2,False,,1367.097701,6
66_1,True,,1362.875706,6
66_2,False,,1362.875706,6
67_1,True,,1367.097701,6
67_2,False,,1367.097701,6
67_3,False,,1367.097701,6
67_4,False,,1367.097701,6
67_5,False,,1367.097701,6
67_6,False,,1367.097701,6
68_1,True,,1362.875706,6
68_2,False,,1362.875706,6
68_3,False,,1362.875706,6
69_1,True,,1367.097701,6
69_2,False,,1367.097701,6
69_3,False,,1367.097701,6
69_4,False,,1367.097701,6
69_5,False,,1367.097701,6
69_6,False,,1367.097701,6
70_1,True,,1362.875706,6
71_1,True,,1367.097701,6
71_2,False,,1367.097701,6
71_3,False,,1367.097701,6
71_4,False,,1367.097701,6
71_5,False,,1367.097701,6
72_1,True,,1362.875706,6
72_2,False,,1362.875706,6
73_1,True,,1367.097701,6
73_2,False,,1367.097701,6
74_1,True,,1362.875706,6
74_2,False,,1362.875706,6
75_1,True,,1367.097701,6
75_2,False,,1367.097701,6
75_3,False,,1367.097701,6
76_1,True,,1362.875706,6
76_2,False,,1362.875706,6
77_1,True,,1367.097701,6
77_2,False,,1367.097701,6
77_3,False,,1367.097701,6
77_4,False,,1367.097701,6
78_1,True,,1362.875706,6
78_2,False,,1362.875706,6
78_3,False,,1362.875706,6
79_1,True,,1367.097701,6
79_2,False,,1367.097701,6
79_3,False,,1367.097701,6
79_4,False,,1367.097701,6
79_5,False,,1367.097701,6
80_1,True,,1362.875706,6
80_2,False,,1362.875706,6
80_3,False,,1362.875706,6
81_1,True,,1367.097701,6
81_2,False,,1367.097701,6
81_3,False,,1367.097701,6
82_1,True,,1362.875706,6
82_2,False,,1362.875706,6
