q_id,q_text,q_section,q_type,q_notes
cp1,CP1. ¿Cuantas personas viven en el hogar?,hogares,numerica,
cp2_1,CP2.1 Sexo. A encuestadores: preguntar sexo (no asumirlo),hogares,categorica,
cp3_m1,CP3.1 ¿Cuántos años cumplidos tiene (NOMBRE)? 999. NS/NC,hogares,numerica,
cp3_a1,CP3.1.1 Meses. 999. NS/NC,hogares,numerica,
cp4_1,"CP4.1 ¿Qué parentesco tiene (NOMBRE) con el jefe(a) del hogar ?Sí son dos jefes de familia, elegir uno de forma aleatoria.",hogares,categorica,
cp4_1_1,CP4.1.1 Parentesco (Otro),hogares,numerica,
cp5_1,CP5.1 (NOMBRE) ¿Estudia actualmente?,hogares,categorica,
cp6_1_1,CP6.1.1 ¿Cuál es el nivel máximo de estudios terminado (si ya no estudia)?,hogares,categorica,
cp6_2_1,CP6.2.1 ¿Cuál es el nivel máximo de estudios actualmente cursando (si sigue estudiando)?,hogares,categorica,
cp7_1,CP7.1 Tipo de escuela,hogares,categorica,
p76_1_1,"P76.1.1 Nombre, inició estudios en el ciclo 2020-2021?",hogares,categorica,
p76_2_1,"P76.2.1 En el ciclo 2020-2021, (Nombre) ¿finalizó sus estudios?",hogares,categorica,
p77_1_1,P77.1.1 Clases a través de videos o audios en redes sociales que elaboraban docentes,hogares,categorica,
p77_2_1,P77.2.1 Clases en línea impartidas por la institución educativa.,hogares,categorica,
p77_3_1,P77.3.1 Clases por TV (Aprende en Casa),hogares,categorica,
p77_4_1,"P77.4.1 Otra, Cuál?",hogares,numerica,
p78_1,P78.1 ¿Cómo considera que es el rendimiento escolar (nombre de estudiante) en la modalidad a distancia en comparación con la presencial?,hogares,numerica,
cp8_1,CP8.1 ¿Con cuál servicio médico cuenta (NOMBRE) de este hogar?,hogares,categorica,
cp9_1_1,CP9.1.1 (NOMBRE) ¿Sufre o ha sufrido Diabetes durante los últimos 12 meses ?:,hogares,categorica,
cp9_2_1,CP9.2.1 (NOMBRE) ¿Sufre o ha sufrido Hipertensión durante los últimos 12 meses ?:,hogares,categorica,
cp9_3_1,CP9.3.1 (NOMBRE) ¿Sufre o ha sufrido Cáncer durante los últimos 12 meses ?:,hogares,categorica,
cp9_4_1,CP9.4.1 (NOMBRE) ¿Sufre o ha sufrido Covid durante los últimos 12 meses ?:,hogares,categorica,
p79,"P79. De acuerdo con su experiencia, evalúe las siguientes afirmaciones",hogares,numerica,
p79_1,"P.79.1. En su hogar existen suficientes dispositivos electrónicos para que las personas que estudian tomen clases o realicen actividades escolares (laptop, tablet, celular, computadora, televisión)",hogares,numerica,
p79_2,P.79.2. Su hogar cuenta con una conexión a internet,hogares,numerica,
p79_3,P.79.3. Los horarios personales o laborales de al menos un adulto permiten estar al tanto de la educación en casa.,hogares,numerica,
p80,P80. Considera que la autoridad educativa informó debidamente los protocolos y planes para el retorno a clases,hogares,numerica,
p81_a,P81.A. Primaria,hogares,categorica,
p81_b,P81.B.Secundaria,hogares,categorica,
p81_c,"P81.C. Media Superior (Preparatoria, bachillerato)",hogares,categorica,
p1,"P1. Durante la semana pasada, ¿cuál fue su principal actividad laboral? (Seleccione una)",generales,categorica,
p2,P2. ¿Cuántas horas trabaja al día (considerando hora de comida)?:,generales,numerica,
p3,P3. ¿Cuántos días a la semana trabaja?:,generales,numerica,
p4,"P4. Al día ¿Cuántas horas destina a los quehaceres constantes del hogar (limpiar, lavar ropa, cocinar, acudir a pagar servicios, trámites, compras del hogar)?",generales,numerica,
p5,"P5. Al día ¿Cuántas horas destina al cuidado no remunerado de personas, como niños(as), personas enfermas, o ancianos(as) (atenderlos en sus necesidades, acompañamiento en tareas y deberes, llevarlos a la escuela, al médico, bañarles, alimentarles)?",generales,numerica,
p6,"P6. Durante el día de ayer, ¿cuál fue el principal motivo para trasladarse fuera de su casa? Nota: Cuando la entrevista sea realizada en domingo o lunes entonces preguntar por viaje del día viernes. Si tuvo varios viajes, seleccionar el más recurrente",generales,numerica,
p7,"P7. Si respondió sin viaje en la pregunta anterior, ¿por qué no salió?",generales,numerica,
p8,P8. ¿Cuántas veces a la semana se dirige a este destino?,generales,categorica,
p9_1,P9.1. Para su principal motivo de traslado que nos mencionó ¿cuál fue el municipio de su destino?,generales,categorica,
p9_2,P9.2. ¿cuál fue la colonia de su destino?,generales,numerica,
p23,P23. ¿Realizó algún transbordo en su viaje de ida?,generales,categorica,
p24,P24. ¿Cuántos transbordos realizó en su viaje de ida?,generales,categorica,
p10,"P10 Durante el día de ayer: ¿Cuál de los siguientes modos de transporte usted utilizó para llegar a su destino?(Si utilizó más de uno, seleccionar en el que pasa más tiempo)",generales,numerica,
p10_b,P10.B. Ruta:,generales,numerica,
p10_c,P10.C. ¿Cuántas personas viajan en el Taxi? (sin contar al conductor):,generales,numerica,
p10_d,P10.D. ¿Cuántas personas viajan en el Uber? (sin contar al conductor):,generales,numerica,
p10_h,P10.H. ¿Cuántas personas viajan en el auto?:,generales,numerica,
p20_1o,P20.1. ¿Cuánto tiempo esperó para tomar su principal medio de transporte? Hrs:,generales,numerica,
p20_2o,P20.2. Min:,generales,numerica,
p11,Si utilizó más de un medio ¿Cuáles de los siguientes modos de transporte usted utilizó para llegar a su destino? ( se puede seleccionar más de uno),generales,numerica,
p11_a,P11.A. Pie/camina/en silla de ruedas,generales,numerica,
p11_b,"P11.B. Camión, microbús Ruta:",generales,numerica,
p11_b_1,P11.B.1 Ruta:,generales,numerica,
p11_c,P11.C. Taxi,generales,numerica,
p11_c_1,P11.C.1 ¿Cuántas personas viajan en el Taxi? (sin contar al conductor):,generales,numerica,
p11_d,P11.D. Uber u otra aplicación móvil similar,generales,numerica,
p11_d_1,P11.D.1 ¿Cuántas personas viajan en el Uber? (sin contar al conductor):,generales,numerica,
p11_e,P11.E. Motocicleta,generales,numerica,
p11_f,P11.F. Bicicleta,generales,numerica,
p11_g,P11.G. Metro,generales,numerica,
p11_h,P11.H. Automóvil/acompañante de automóvil,generales,numerica,
p11_h_1,P11.H.1. ¿Cuántas personas viajan en el auto?:,generales,numerica,
p11_i,P11.I. Transmetro,generales,numerica,
p11_j,P11.J. Ecovía,generales,numerica,
p11_k,P11.K. Transporte escolar,generales,numerica,
p11_l,P11.L. Transporte de trabajo,generales,numerica,
p11_m,P11.M. Autobús privado (tipo Senda),generales,numerica,
p15,P15. . ¿Cuántos vehículos de motor (autos y camionetas) hay en el hogar?,generales,numerica,
p13,P13. En esta vivienda ¿Cuál es el gasto total por semana en gasolina?,generales,numerica,
p16,P16. ¿Cuántas motocicletas hay en el hogar?,generales,numerica,
p14,P14. ¿Cuál es su gasto promedio semanal en gasolina por usar su motocicleta?,generales,numerica,
p12,"P12. Si contestó 3: Taxi, 4: Uber, 5: Motocicleta, 8: Automóvil, ¿Por qué no utiliza el transporte público? Razón más importante",generales,categorica,
p25,P25. ¿Cuál fue el COSTO TOTAL de su viaje principal de IDA a su destino?,generales,numerica,
p26,P26. ¿Cuál fue el COSTO TOTAL de su viaje principal de REGRESO a su casa?,generales,numerica,
p18_1o,"P18.1. ¿Cuánto tiempo de ida tardó en el medio que lo transportó a su destino principal (P3)? Incluya tiempo de caminata, espera y transbordo; desde que sale de su casa hasta que llega a su destino. Hrs:",generales,numerica,
p18_2o,P18.2. Min:,generales,numerica,
p19_1o,"P19.1. ¿Cuánto tiempo tardó de vuelta en el medio que lo transportó a su destino principal (P3)? Incluya tiempo de caminata, espera y transbordo; desde que sale de su casa hasta que llega a su destino. Hrs:",generales,numerica,
p19_2o,P19.2. Min:,generales,numerica,
p27,P27. Durante los viajes que realiza en la semana ¿para alguno utiliza la bicicleta como medio de transporte?,generales,numerica,
p28,P28. Para quién respondió que no ¿cuál es la razón principal para no usarla?,generales,categorica,
p17,P17. ¿Cuántas bicicletas hay en el hogar?,generales,numerica,
p29,P29. Vamos a evaluar la calidad del servicio de transporte público. Conteste las siguientes preguntas según su experiencia,generales,numerica,
p29_1_1,P29.1.1. ¿El tiempo de espera por unidades es siempre el mismo,generales,categorica,
p29_1_2,"P29.1.2. Si necesita viajar a zonas que normalmente no visita, ¿sabe dónde consultar qué ruta lo lleva, por dónde pasa, y dónde está la parada?",generales,categorica,
p29_1_3,P29.1.3. ¿Se siente seguro viajando en el transporte público?,generales,categorica,
p29_1_4,"P29.1.4. En su viaje, ¿regularmente puede ir sentado(a)?",generales,categorica,
p29_1_5,"P29.1.5. ¿Las unidades que normalmente utiliza, presentan fallas físicas o mecánicas?",generales,categorica,
p29_1_6,P29.1.6. ¿El comportamiento de los choferes es respetuoso?,generales,categorica,
p29_1_7,"P29.1.7. ¿Los choferes manejan en forma prudente y segura? (manejan a una velocidad adecuada, respetan los semáforos, señales de tránsito y no usan el celular cuando están manejando)",generales,categorica,
p29_1_8,"P29.1.8. ¿Ha sufrido algún tipo de acoso en el transporte público? (tocamientos, miradas incómodas, arrimones, ser perseguido(a), fotos sin consentimiento)",generales,categorica,
p30,P30. Considera que la tarifa del transporte público es:,generales,categorica,
p31,P31. Las unidades del transporte público presentan las siguientes fallas:,generales,numerica,
p31_1,P31.1. Asientos dañados o sucios.,generales,categorica,
p31_2,P31.2. Vidrios rotos.,generales,categorica,
p31_3,P31.3. Grafiti y rayones.,generales,categorica,
p31_4,"P31.4. Ruidoso, escandaloso.",generales,categorica,
p31_5,P31.5. Echa humo contaminante.,generales,categorica,
